"","Entity","Year","Edu_Expenditure","cl_ratio","GDP_per_capita","Population"
"58","Mongolia",2016,5.200433,14.699067,10504.814,809528
"59","Morocco",2016,5.085302,4.5,4797.6753,9511467
"60","Mozambique",2016,5.86504,27.4,977.19086,9874626
"61","Namibia",2016,10.314831,15.438287,6635.539,743919
"62","Nepal",2016,3.4771123,42.82749,3152.2932,9325053
"63","Nicaragua",2016,4.08115,47.74977,5042.803,2013587
"64","Niger",2016,2.95843,48.5,1075.146,8831884
"65","Nigeria",1975,3.06369,35.06192,4975.638,73344420
"66","North Macedonia",2002,3.30015,19.8,13809.965,379661
"67","Pakistan",2016,2.4172118,13,4082.4495,77377790
"68","Panama",2016,3.0783472,5.620417,27440.566,1099813
"69","Paraguay",2016,3.43498,10.42105,12616.414,1881345
"70","Peru",2016,3.81317,22.566572,12015.1875,8723759
"71","Philippines",2016,3.0342243,9,5995.431,32878642
"72","Portugal",2016,4.770906,3.6365542,30756.02,1679195
"73","Romania",2016,3.0256,1.4,12178.754,4080189
"74","Rwanda",2016,3.43479,5.9,1735.5454,4707397
"75","Senegal",2016,5.11309,25.13887,3012.3833,6192789
"76","Serbia",2016,3.6347,17.9379,15229.067,1074955
"77","Sierra Leone",2016,2.91134,59.2,1914.7379,2960645
"78","Somalia",1973,1.27728,43.5,NA,5194089
"79","South Africa",2016,5.44424,27.7,10270.063,16781320
"80","South Sudan",2016,1.5653923,45.6,NA,3901344
"81","Sri Lanka",2016,3.22929,10.7,8800.107,5242681
"82","Sudan",2009,2.02213,30.555033,4776.62,15615754
"83","Syria",2009,5.13014,6.6,NA,7349569
"84","Tajikistan",2016,5.7309413,8.9,1884.9607,2694313
"85","Tanzania",2016,4.1019673,34.73484,2246.5608,22820056
"86","Thailand",2016,3.7676175,15.1,12739.737,13850250
"87","Togo",2016,3.68649,35.2259,1824.8356,3030592
"88","Trinidad and Tobago",2016,3.7671504,3.4,26162.645,299096
"89","Tunisia",2015,6.22045,3.4,10428.271,2640763
"90","Turkey",2016,4.62774,2.6,19043.623,19729138
"91","Uganda",2016,2.13789,36.7,2013.5464,16960734
"92","Ukraine",2016,5.00978,5,12985.087,6576073
"93","Uruguay",2016,4.3642,7.3,17978.055,755934
"94","Uzbekistan",2016,5.4152374,5.1,3849.5945,8521229
"95","Venezuela",2009,6.87468,3.910936,NA,8679250
"96","Vietnam",2016,3.46907,10.9,6950.2876,21208004
"97","Yemen",2012,5.46479,16.1,NA,10796384
"98","Zambia",2016,3.74792,34.4,2746.4905,6038245
"99","Zimbabwe",2014,6.13835,14.3,2866.033,4972057
